Name,URL,"Price, rub",Year,KmAge,Engine,GearBox,CarType,Place
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116202091-b6a6e710/?from=searchline,820000,2021,48000,1.6 л/87л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116201099-76243414/?from=searchline,870000,2019,69000,1.6 л/106л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Granta Euro-2 I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116133238-1bc15a69/?from=searchline,640000,2019,79000,1.6 л/90л.с./Бензин,механика,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116133230-9b98fc16/?from=searchline,770000,2020,54000,1.6 л/87л.с./Бензин,механика,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta Cross I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116133228-1baf6d30/?from=searchline,890000,2021,33000,1.6 л/87л.с./Бензин,механика,универсал 5 дв.,Салават (150км отУфы)
LADA (ВАЗ) 2131 (4x4) Urban I,https://auto.ru/cars/used/sale/vaz/2131_4x4/1116133226-2cefaf85/?from=searchline,770000,2018,46000,1.7 л/83л.с./Бензин,механика,внедорожник 5 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) XRAY Cross I,https://auto.ru/cars/used/sale/vaz/xray/1116063854-f9827ce0/?from=searchline,1140000,2021,36000,1.8 л/122л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116048994-2f0760af/?from=searchline,720000,2017,117000,1.8 л/122л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115810446-c60d86a4/?from=searchline,800000,2020,12000,1.6 л/106л.с./Бензин,механика,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Largus I Рестайлинг,https://auto.ru/cars/used/sale/vaz/largus/1115356478-288d06a9/?from=searchline,1330000,2021,3000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115296530-9e7e1fd6/?from=searchline,660000,2020,42000,1.6 л/87л.с./Бензин,механика,лифтбек,Уфа
LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1115286185-59c76524/?from=searchline,750000,2017,108000,1.8 л/122л.с./Бензин,робот,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1115286085-fb023e18/?from=searchline,670000,2016,133000,1.6 л/106л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1115286072-2f98f199/?from=searchline,560000,2014,103000,1.6 л/98л.с./Бензин,автомат,лифтбек,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1115286061-06355cb0/?from=searchline,850000,2016,101000,1.8 л/122л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2121 (4x4) Urban I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1115286024-30520cb1/?from=searchline,710000,2017,61000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг (2020),https://auto.ru/cars/used/sale/vaz/2121/1115098279-5c4253a4/?from=searchline,960000,2021,13000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115072293-4f2f35bc/?from=searchline,730000,2020,36000,1.6 л/98л.с./Бензин,автомат,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) 2131 (4x4) Urban I Рестайлинг (2020),https://auto.ru/cars/used/sale/vaz/2131_4x4/1115072286-f7ce8252/?from=searchline,960000,2020,28000,1.7 л/83л.с./Бензин,механика,внедорожник 5 дв.,Салават (150км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115072281-1d493b86/?from=searchline,680000,2020,52000,1.6 л/98л.с./Бензин,автомат,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115067740-dae3ffef/?from=searchline,770000,2021,8000,1.6 л/98л.с./Бензин,автомат,седан,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1114837924-d8fa979c/?from=searchline,840000,2021,35000,1.8 л/122л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1114625580-7ddd3c75/?from=searchline,810000,2019,38000,1.7 л/80л.с./Бензин,механика,внедорожник 3 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1114625573-e906acaa/?from=searchline,770000,2016,128000,1.6 л/87л.с./Бензин,механика,универсал 5 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1114625562-42718f55/?from=searchline,850000,2021,5000,1.6 л/106л.с./Бензин,механика,лифтбек,Салават (150км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/new/group/vaz/vesta/20417815/21717419/1115549457-067e8b3a/?from=searchline,1200000,2022,Новый,1.6 л/106л.с./Бензин,робот,седан,Салават (150км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116778349-5a29bf83/?from=searchline,840000,2020,12000,1.6 л/90л.с./Бензин,механика,седан,Салават (150км отУфы)
LADA (ВАЗ) 2110,https://auto.ru/cars/used/sale/vaz/2110/1116778212-3c65f3ee/?from=searchline,90000,2005,98000,2.0 л/136л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Niva I Рестайлинг (Travel),https://auto.ru/cars/new/group/vaz/niva/22716614/22736095/1115549452-f0369c93/?from=searchline,1340000,2022,Новый,1.7 л/80л.с./Бензин,механика,внедорожник 5 дв.,Салават (150км отУфы)
LADA (ВАЗ) Granta Euro-2 I Рестайлинг,https://auto.ru/cars/new/group/vaz/granta/23298912/22880615/1116433964-bed3fb24/?from=searchline,790000,2022,Новый,1.6 л/90л.с./Бензин,механика,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/new/group/vaz/vesta/20861218/21717419/1115536546-2ed26826/?from=searchline,1200000,2022,Новый,1.8 л/122л.с./Бензин,робот,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/new/group/vaz/granta/21377541/22880615/1116437156-3b2b16cf/?from=searchline,840000,2022,Новый,1.6 л/98л.с./Бензин,автомат,седан,Салават (150км отУфы)
LADA (ВАЗ) Largus Cross I,https://auto.ru/cars/used/sale/vaz/largus/1116481334-18fa7d2f/?from=searchline,1250000,2020,99000,1.6 л/105л.с./Бензин,механика,универсал 5 дв.,Белорецк (180км отУфы)
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116465881-651550cd/?from=searchline,150000,2009,81000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) XRAY Cross I,https://auto.ru/cars/used/sale/vaz/xray/1116369032-1c29d394/?from=searchline,1610000,2021,4000,1.6 л/113л.с./Бензин,вариатор,хэтчбек 5 дв.,Октябрьский (160км отУфы)
LADA (ВАЗ) Niva I Рестайлинг (Travel),https://auto.ru/cars/used/sale/vaz/niva/1116301043-3875302a/?from=searchline,1580000,2021,2000,1.7 л/80л.с./Бензин,механика,внедорожник 5 дв.,Башкортостан (160км отУфы)
LADA (ВАЗ) Vesta SW Cross I,https://auto.ru/cars/used/sale/vaz/vesta/1116289505-adb57a85/?from=searchline,1120000,2019,38000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг (2020),https://auto.ru/cars/used/sale/vaz/2121/1115978537-69321666/?from=searchline,1010000,2021,7000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Сатка (190км отУфы)
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1103916109-7bd58603/?from=searchline,1350000,2020,18000,1.8 л/122л.с./Бензин,механика,универсал 5 дв.,Салават (150км отУфы)
LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1116776895-cbefd042/?from=searchline,80000,2003,219000,1.5 л/68л.с./Бензин,механика,седан,Дюртюли (100км отУфы)
LADA (ВАЗ) 2111,https://auto.ru/cars/used/sale/vaz/2111/1116578677-28a50287/?from=searchline,80000,2001,187000,1.5 л/90л.с./Бензин,механика,универсал 5 дв.,Нефтекамск (180км отУфы)
LADA (ВАЗ) 2109,https://auto.ru/cars/used/sale/vaz/2109/1116578478-3684c60a/?from=searchline,100000,2003,152000,1.5 л/68л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/new/group/vaz/granta/21377540/22880615/1116433981-828ddd60/?from=searchline,750000,2022,Новый,1.6 л/106л.с./Бензин,механика,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) 2112,https://auto.ru/cars/used/sale/vaz/2112/1116530025-c822d80e/?from=searchline,110000,2006,207000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) 2111,https://auto.ru/cars/used/sale/vaz/2111/1116783560-2033e6b9/?from=searchline,140000,2008,87000,1.5 л/90л.с./Бензин,механика,универсал 5 дв.,Октябрьский (более 200км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/new/group/vaz/granta/21377538/22880615/1116433968-cc553d16/?from=searchline,700000,2022,Новый,1.6 л/87л.с./Бензин,механика,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Niva Legend,https://auto.ru/cars/new/group/vaz/niva_legend/22797022/22797475/1116433973-1386f1d6/?from=searchline,830000,2022,Новый,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116765513-3cad4f65/?from=searchline,80000,2001,127000,1.7 л/80л.с./Бензин,механика,внедорожник 3 дв.,Башкортостан (160км отУфы)
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116765195-f0c4c9fc/?from=searchline,80000,2008,125000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Давлеканово
LADA (ВАЗ) 2109,https://auto.ru/cars/used/sale/vaz/2109/1116764806-c14a1d52/?from=searchline,80000,2000,209000,1.5 л/72л.с./Бензин,механика,хэтчбек 5 дв.,Стерлитамак (120км отУфы)
LADA (ВАЗ) 1111 Ока КамАЗ,https://auto.ru/cars/used/sale/vaz/1111/1116755042-81e02520/?from=searchline,60000,2000,17000,0.7 л/29л.с./Бензин,механика,хэтчбек 3 дв.,Уфа
LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1116746509-2597175f/?from=searchline,730000,2018,59000,1.6 л/87л.с./Бензин,механика,универсал 5 дв.,Нефтекамск (180км отУфы)
LADA (ВАЗ) 2105,https://auto.ru/cars/used/sale/vaz/2105/1116745673-ebabb557/?from=searchline,100000,1997,146000,1.2 л/59л.с./Бензин,механика,седан,Стерлитамак (120км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116742768-91c43923/?from=searchline,570000,2019,37000,1.6 л/87л.с./Бензин,механика,седан,Стерлитамак (120км отУфы)
LADA (ВАЗ) Priora Premier I,https://auto.ru/cars/used/sale/vaz/2170/1116741782-dc358ec1/?from=searchline,290000,2011,181000,1.8 л/98л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 21099,https://auto.ru/cars/used/sale/vaz/21099/1116725084-a89aa5dc/?from=searchline,80000,2001,179000,1.5 л/70л.с./Бензин,механика,седан,Туймазы (140км отУфы)
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116724563-951f7c38/?from=searchline,130000,2006,265000,1.6 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2110 Премьер,https://auto.ru/cars/used/sale/vaz/2110/1116715074-27d9a6ab/?from=searchline,120000,2004,72000,1.5 л/92л.с./Бензин,механика,седан,Месягутово (170км отУфы)
LADA (ВАЗ) 21099,https://auto.ru/cars/used/sale/vaz/21099/1116690364-ea14e79f/?from=searchline,90000,2001,162000,1.5 л/78л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2107,https://auto.ru/cars/used/sale/vaz/2107/1116678426-eb82def3/?from=searchline,80000,2011,75000,1.5 л/68л.с./Бензин,механика,седан,Туймазы (140км отУфы)
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116641876-82014c0b/?from=searchline,230000,2010,156000,1.6 л/98л.с./Бензин,механика,хэтчбек 3 дв.,Октябрьский (160км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116620842-36190ce2/?from=searchline,450000,2013,77000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Иглино
LADA (ВАЗ) 2110 Премьер,https://auto.ru/cars/used/sale/vaz/2110/1116603410-e1b9a1fc/?from=searchline,60000,2003,286000,1.5 л/92л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116598676-cc3e67bc/?from=searchline,1040000,2021,2000,1.6 л/87л.с./Бензин,механика,седан,Октябрьский (160км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116567201-4179eb9e/?from=searchline,1060000,2021,19000,1.8 л/122л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116564477-f515a402/?from=searchline,180000,2007,206000,1.4 л/89л.с./Бензин,механика,хэтчбек 5 дв.,Старобалтачево (140км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116552984-f170b340/?from=searchline,800000,2020,23000,1.6 л/106л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116535242-820935d0/?from=searchline,210000,2008,134000,1.6 л/98л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Kalina Sport I,https://auto.ru/cars/used/sale/vaz/kalina/1116517646-e941dc2c/?from=searchline,310000,2012,100000,1.6 л/98л.с./Бензин,механика,хэтчбек 5 дв.,Азнакаево (180км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116508619-ebb5f45b/?from=searchline,90000,2000,157000,1.6 л/73л.с./Бензин,механика,внедорожник 3 дв.,Аскино (150км отУфы)
LADA (ВАЗ) 2110,https://auto.ru/cars/used/sale/vaz/2110/1116441871-8cf03952/?from=searchline,70000,2003,240000,1.5 л/94л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2131 (4x4) I,https://auto.ru/cars/used/sale/vaz/2131_4x4/1116440726-fbf7dd6d/?from=searchline,350000,2010,98000,1.8 л/84л.с./Бензин,механика,внедорожник 5 дв.,Знаменка (120км отУфы)
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1116396905-85408ea3/?from=searchline,900000,2019,117000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116383156-8ade7db0/?from=searchline,150000,2006,237000,1.6 л/81л.с./Бензин,механика,седан,Благовещенск
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116361135-2e8f75a0/?from=searchline,100000,2005,157000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Стерлитамак (120км отУфы)
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116361135-2e8f75a0/?from=searchline,100000,2005,157000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Стерлитамак (120км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116352664-ac85c29e/?from=searchline,430000,2016,150000,1.6 л/87л.с./Бензин,механика,седан,Стерлитамак (120км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116347225-8b3be28d/?from=searchline,460000,2014,35000,1.6 л/98л.с./Бензин,автомат,лифтбек,Уфа
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116287287-be88eb48/?from=searchline,310000,2011,132000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Октябрьский (160км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116248909-b5d1c6a4/?from=searchline,1130000,2019,10000,1.8 л/122л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1116227115-fc6c88a8/?from=searchline,890000,2019,82000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Малояз (140км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116200097-4218ef97/?from=searchline,710000,2019,101000,1.6 л/106л.с./Бензин,робот,седан,Салават (150км отУфы)
LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1116169846-e0a3fa34/?from=searchline,670000,2016,104000,1.6 л/106л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) 2107,https://auto.ru/cars/used/sale/vaz/2107/1116094601-253af00f/?from=searchline,110000,2006,130000,1.5 л/72л.с./Бензин,механика,седан,Нефтекамск (180км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1116044052-02142116/?from=searchline,1070000,2022,5000,1.6 л/90л.с./Бензин,механика,седан,Бакалы (140км отУфы)
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116038213-f3445193/?from=searchline,190000,2011,150000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Сатка (190км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116023078-9f6a6a89/?from=searchline,200000,1997,123000,1.7 л/80л.с./Бензин,механика,внедорожник 3 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116006512-2b6b7200/?from=searchline,230000,2006,92000,1.6 л/98л.с./Бензин,механика,седан,Октябрьский (160км отУфы)
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1115908508-69d8cfd4/?from=searchline,340000,2011,159000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Дюртюли (100км отУфы)
LADA (ВАЗ) 2107,https://auto.ru/cars/used/sale/vaz/2107/1115880695-ff521c85/?from=searchline,110000,2003,54000,1.6 л/73л.с./Бензин,механика,седан,Нефтекамск (180км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1115867517-83bf5241/?from=searchline,600000,2018,33000,1.6 л/87л.с./Бензин,механика,лифтбек,Верхние Киги (180км отУфы)
LADA (ВАЗ) 2110,https://auto.ru/cars/used/sale/vaz/2110/1115845529-ddfa3221/?from=searchline,160000,2006,172000,1.6 л/90л.с./Бензин,механика,седан,Башкортостан (160км отУфы)
LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1115841952-f4980dab/?from=searchline,360000,2014,142000,1.6 л/87л.с./Бензин,механика,хэтчбек 5 дв.,Мелеуз (190км отУфы)
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1115707928-92e58905/?from=searchline,220000,2012,145000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115604561-d31d5550/?from=searchline,750000,2019,38000,1.6 л/87л.с./Бензин,механика,лифтбек,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1115532983-c826d230/?from=searchline,850000,2019,85000,1.8 л/122л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) 2110 Премьер,https://auto.ru/cars/used/sale/vaz/2110/1115473055-70b8606b/?from=searchline,110000,2001,129000,1.5 л/92л.с./Бензин,механика,седан,Воздвиженка (130км отУфы)
LADA (ВАЗ) Largus CNG I,https://auto.ru/cars/used/sale/vaz/largus/1115446197-2887cc34/?from=searchline,690000,2017,133000,1.6 л/106л.с./Газ,механика,фургон,Уфа
LADA (ВАЗ) Largus Cross I,https://auto.ru/cars/used/sale/vaz/largus/1115433698-85b18122/?from=searchline,680000,2017,111000,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Largus CNG I,https://auto.ru/cars/used/sale/vaz/largus/1115413289-989f54e0/?from=searchline,520000,2013,146000,1.6 л/106л.с./Газ,механика,фургон,Уфа
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1115334759-c84690f5/?from=searchline,260000,2000,140000,1.7 л/80л.с./Бензин,механика,внедорожник 3 дв.,Давлеканово
LADA (ВАЗ) 2106 5-speed,https://auto.ru/cars/used/sale/vaz/2106/1115122329-90fb5e8b/?from=searchline,100000,1996,46000,1.6 л/74л.с./Бензин,механика,седан,Нефтекамск (180км отУфы)
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1114836981-3ece38d0/?from=searchline,250000,2012,188000,1.6 л/98л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1105646964-bf50d22e/?from=searchline,760000,2017,78000,1.6 л/106л.с./Бензин,робот,седан,Белебей (130км отУфы)
LADA (ВАЗ) Vesta I,https://auto.ru/cars/new/group/vaz/vesta/20417815/23051332/1116166767-e7274d44/?from=searchline,1480000,2022,Новый,1.6 л/106л.с./Бензин,робот,седан,Салават (150км отУфы)
LADA (ВАЗ) 2109 21093i,https://auto.ru/cars/used/sale/vaz/2109/1116784310-b9769e3b/?from=searchline,170000,2005,248000,1.5 л/72л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/new/group/vaz/vesta/20417815/22950810/1115549449-77f2b3ff/?from=searchline,1340000,2022,Новый,1.6 л/106л.с./Бензин,робот,седан,Салават (150км отУфы)
LADA (ВАЗ) Largus I Рестайлинг,https://auto.ru/cars/new/group/vaz/largus/22749669/22775804/1115549453-4def6e05/?from=searchline,1710000,2022,Новый,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Салават (150км отУфы)
LADA (ВАЗ) 2111,https://auto.ru/cars/used/sale/vaz/2111/1116781797-b311468b/?from=searchline,280000,2008,41000,1.5 л/92л.с./Бензин,механика,универсал 5 дв.,Ишимбай (140км отУфы)
LADA (ВАЗ) Largus I Рестайлинг,https://auto.ru/cars/new/group/vaz/largus/22749669/22775826/1115549450-6c4b658b/?from=searchline,1630000,2022,Новый,1.6 л/106л.с./Бензин,механика,универсал 5 дв.,Салават (150км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116774340-6ae0a5ea/?from=searchline,300000,2012,130000,1.6 л/98л.с./Бензин,автомат,седан,Мелеуз (190км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116773941-0c030b0a/?from=searchline,440000,2014,87000,1.6 л/87л.с./Бензин,механика,лифтбек,Бавлы (170км отУфы)
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116780619-c779a946/?from=searchline,420000,2013,121000,1.6 л/98л.с./Бензин,автомат,седан,Уфа
LADA (ВАЗ) 21099,https://auto.ru/cars/used/sale/vaz/21099/1116768345-e7dc3e84/?from=searchline,150000,2004,209000,1.6 л/81л.с./Бензин,механика,седан,Стерлитамак (120км отУфы)
LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1116768058-9a6a9b4c/?from=searchline,70000,2006,134000,1.6 л/98л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) 2112,https://auto.ru/cars/used/sale/vaz/2112/1116768035-aafd00e0/?from=searchline,100000,2002,163000,1.5 л/92л.с./Бензин,механика,хэтчбек 5 дв.,Нефтекамск (180км отУфы)
LADA (ВАЗ) 2109,https://auto.ru/cars/used/sale/vaz/2109/1116765296-7334ac47/?from=searchline,100000,2002,271000,1.1 л/54л.с./Бензин,механика,хэтчбек 5 дв.,Салават (150км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116761057-edd4b187/?from=searchline,440000,2012,146000,1.9 л/75л.с./Дизель,механика,внедорожник 3 дв.,Янаул (180км отУфы)
LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1116755574-12924035/?from=searchline,290000,2010,79000,1.5 л/68л.с./Бензин,механика,седан,Нефтекамск (180км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1116755343-6b5ebefd/?from=searchline,320000,2011,167000,1.7 л/79л.с./Бензин,механика,внедорожник 3 дв.,Туймазы (140км отУфы)
LADA (ВАЗ) 2110,https://auto.ru/cars/used/sale/vaz/2110/1116755295-6699587b/?from=searchline,130000,2005,158000,1.5 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116753275-ef90d916/?from=searchline,210000,2006,156000,1.6 л/84л.с./Бензин,механика,седан,Октябрьский (160км отУфы)
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116749601-4a9802d5/?from=searchline,250000,2010,179000,1.6 л/98л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116748364-7b3eaafc/?from=searchline,140000,2012,134000,1.6 л/98л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116747782-aa2c8d4b/?from=searchline,100000,2008,196000,1.6 л/98л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) 2131 (4x4) Euro 5 I,https://auto.ru/cars/used/sale/vaz/2131_4x4/1116746267-16908eee/?from=searchline,980000,2018,9000,1.7 л/83л.с./Бензин,механика,внедорожник 5 дв.,Октябрьский (160км отУфы)
LADA (ВАЗ) 2109 21093i,https://auto.ru/cars/used/sale/vaz/2109/1116743123-7064ece6/?from=searchline,50000,2001,157000,1.5 л/72л.с./Бензин,механика,хэтчбек 5 дв.,Октябрьский (160км отУфы)
LADA (ВАЗ) Priora Premier I,https://auto.ru/cars/used/sale/vaz/2170/1116742811-4596a886/?from=searchline,150000,2008,258000,1.6 л/98л.с./Бензин,механика,седан,Уфа
